model,task,clf,metric,fold,score_cv,k
esmc_600M,species_label,MLP,f1_macro,1,0.6878,15
esmc_600M,species_label,MLP,f1_macro,2,0.9353,15
esmc_600M,species_label,MLP,f1_macro,3,0.8272,15
esmc_600M,species_label,MLP,f1_macro,4,0.9591,15
esmc_600M,species_label,MLP,f1_macro,5,0.9222,15
esmc_600M,species_label,MLP,f1_macro,6,0.7235,15
esmc_600M,species_label,MLP,f1_macro,7,0.7105,15
esmc_600M,species_label,MLP,f1_macro,8,0.6263,15
esmc_600M,species_label,MLP,f1_macro,9,0.7381,15
esmc_600M,species_label,MLP,f1_macro,10,0.9187,15
esmc_600M,species_label,MLP,f1_macro,11,0.725,15
esmc_600M,species_label,MLP,f1_macro,12,0.856,15
esmc_600M,species_label,MLP,f1_macro,13,0.6272,15
esmc_600M,species_label,MLP,f1_macro,14,0.856,15
esmc_600M,tm_label,LogReg,mcc,0,0.2699,15
esmc_600M,tm_label,LogReg,mcc,1,0.4568,15
esmc_600M,tm_label,LogReg,mcc,2,0.0479,15
esmc_600M,tm_label,LogReg,mcc,3,0.3483,15
esmc_600M,tm_label,LogReg,mcc,4,0.5049,15
esmc_600M,tm_label,LogReg,mcc,5,0.2699,15
esmc_600M,tm_label,LogReg,mcc,6,0.131,15
esmc_600M,tm_label,LogReg,mcc,7,0.3048,15
esmc_600M,tm_label,LogReg,mcc,8,0.2093,15
